epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,3908.16,2.06335,0.76484,0.96659,0.78456,0.68938,0.7598,0.44341,2.49795,0.89635,1.08919,0.000113145,0.000113145,0.000113145
79,3957.91,2.0674,0.75202,0.9684,0.80683,0.70465,0.76645,0.45314,2.49091,0.90107,1.08558,0.000108433,0.000108433,0.000108433
80,4007.91,2.07444,0.76325,0.97241,0.78868,0.69566,0.75251,0.44565,2.50904,0.90107,1.09112,0.00010372,0.00010372,0.00010372
81,4058.35,2.02767,0.7354,0.96694,0.77764,0.7037,0.74878,0.44638,2.48965,0.90726,1.0896,9.9008e-05,9.9008e-05,9.9008e-05
82,4108.16,2.0743,0.75857,0.96299,0.76701,0.71282,0.76007,0.45563,2.48161,0.89368,1.08505,9.42956e-05,9.42956e-05,9.42956e-05
83,4161.38,2.03196,0.73888,0.96044,0.77745,0.70509,0.75374,0.44476,2.51082,0.91539,1.09675,8.95832e-05,8.95832e-05,8.95832e-05
84,4217.95,2.02892,0.74258,0.96146,0.77256,0.68883,0.75579,0.4479,2.48236,0.90542,1.08766,8.48708e-05,8.48708e-05,8.48708e-05
85,4273.56,2.00709,0.73484,0.96254,0.78004,0.70235,0.75429,0.44251,2.50342,0.90728,1.09139,8.01584e-05,8.01584e-05,8.01584e-05
86,4323.75,2.01054,0.72353,0.95417,0.78738,0.71599,0.76223,0.45269,2.4902,0.89436,1.08975,7.5446e-05,7.5446e-05,7.5446e-05
87,4374.88,2.03418,0.73498,0.95787,0.77697,0.69822,0.75387,0.44707,2.48884,0.89401,1.08804,7.07336e-05,7.07336e-05,7.07336e-05
88,4425.23,1.99567,0.72811,0.9495,0.76959,0.71209,0.75731,0.45177,2.49993,0.89429,1.09022,6.60212e-05,6.60212e-05,6.60212e-05
89,4476.11,2.00608,0.73479,0.95849,0.78893,0.69982,0.75166,0.44652,2.50402,0.90498,1.09219,6.13088e-05,6.13088e-05,6.13088e-05
90,4526.77,1.98687,0.72525,0.9532,0.77086,0.70841,0.75862,0.45317,2.4875,0.89113,1.08906,5.65964e-05,5.65964e-05,5.65964e-05
91,4576.87,1.90254,0.66238,0.96584,0.74774,0.70747,0.75784,0.45551,2.48335,0.89123,1.08913,5.1884e-05,5.1884e-05,5.1884e-05
92,4625.94,1.87465,0.64877,0.96343,0.80363,0.68116,0.75089,0.44599,2.51218,0.90117,1.09645,4.71716e-05,4.71716e-05,4.71716e-05
93,4675.59,1.8519,0.64005,0.95819,0.8029,0.66871,0.7556,0.45155,2.49708,0.894,1.09158,4.24592e-05,4.24592e-05,4.24592e-05
94,4724.73,1.82597,0.63147,0.95842,0.79355,0.68139,0.75493,0.45024,2.49506,0.8962,1.09032,3.77468e-05,3.77468e-05,3.77468e-05
95,4773.8,1.82146,0.62518,0.94766,0.76499,0.71479,0.76076,0.45418,2.48724,0.8866,1.08817,3.30344e-05,3.30344e-05,3.30344e-05
96,4822.72,1.83142,0.63415,0.95198,0.77086,0.698,0.75768,0.4516,2.49688,0.89573,1.0919,2.8322e-05,2.8322e-05,2.8322e-05
97,4871.42,1.81178,0.63034,0.95039,0.73851,0.6957,0.75211,0.45086,2.48696,0.88909,1.09056,2.36096e-05,2.36096e-05,2.36096e-05
98,4921.26,1.80641,0.6237,0.94526,0.73149,0.7178,0.75591,0.45205,2.49639,0.88692,1.09246,1.88972e-05,1.88972e-05,1.88972e-05
99,4970.29,1.78732,0.61846,0.94953,0.73181,0.71469,0.75622,0.45134,2.48902,0.88035,1.09062,1.41848e-05,1.41848e-05,1.41848e-05
100,5018.79,1.79664,0.62719,0.95025,0.7491,0.69945,0.75355,0.44815,2.49334,0.88771,1.09051,9.4724e-06,9.4724e-06,9.4724e-06
